,id,date_added,uri,track_href,name,artist,country,type,tempo,duration_ms,time_signature,key,mode,danceability,energy,loudness,liveness,valence,speechiness,acousticness,instrumentalness
176,528,2024-02-10 17:43:36.864736,2lJn77IeZAP9cmv6DPXOrL,https://api.spotify.com/v1/tracks/2lJn77IeZAP9cmv6DPXOrL,Deeper Well,Kacey Musgraves,USA,audio_features,110.598,232133,4,0,1,0.509,0.518,-7.843,0.173,0.365,0.0279,0.511,0.0
177,533,2024-02-10 17:43:36.864736,6J4rRj2uVfziGMyfrPEPLo,https://api.spotify.com/v1/tracks/6J4rRj2uVfziGMyfrPEPLo,Talking / Once Again,¥$,USA,audio_features,148.741,185111,4,9,1,0.463,0.453,-9.572,0.207,0.334,0.16,0.407,1.78e-06
178,541,2024-02-10 17:43:36.864736,0caJ2wkqp4UmXBwdR2JvB5,https://api.spotify.com/v1/tracks/0caJ2wkqp4UmXBwdR2JvB5,Dial Drunk,Noah Kahan,USA,audio_features,112.02,213817,4,8,1,0.693,0.595,-7.578,0.113,0.646,0.0311,0.0969,0.0
179,750,2024-02-29 00:00:00.939563,4NoOME4Dhf4xgxbHDT7VGe,https://api.spotify.com/v1/tracks/4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,KAROL G,El Salvador,audio_features,178.003,200120,4,1,0,0.794,0.807,-3.447,0.104,0.575,0.326,0.334,0.0
180,4497,2024-02-29 00:00:00.939563,4gJfPoMIcSDGY0tMGxm6Fu,https://api.spotify.com/v1/tracks/4gJfPoMIcSDGY0tMGxm6Fu,OKI DOKI,KAROL G,El Salvador,audio_features,106.015,143790,4,2,0,0.843,0.728,-4.207,0.313,0.581,0.0552,0.202,0.000219
181,520,2024-02-29 00:00:00.939563,1VNWdmXSbaNrnWod10WIL0,https://api.spotify.com/v1/tracks/1VNWdmXSbaNrnWod10WIL0,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,USA,audio_features,87.521,244685,4,8,1,0.531,0.652,-6.249,0.162,0.179,0.0325,0.0524,1.39e-06
182,806,2024-02-13 04:21:09.093594,4E3XDKil4ElJt6sXuz5cc6,https://api.spotify.com/v1/tracks/4E3XDKil4ElJt6sXuz5cc6,BURN,Kanye West,USA,audio_features,105.017,111458,4,4,0,0.594,0.885,-6.21,0.856,0.735,0.394,0.0158,6.29e-06
183,656,2024-02-13 04:21:09.093594,3qnbLYCLzKvGIQXFyopS2H,https://api.spotify.com/v1/tracks/3qnbLYCLzKvGIQXFyopS2H,TALKING,Kanye West,USA,audio_features,148.383,185111,4,9,1,0.47,0.454,-9.567,0.207,0.34,0.135,0.417,1.74e-06
184,749,2024-02-11 21:44:22.675424,0DWdj2oZMBFSzRsi2Cvfzf,https://api.spotify.com/v1/tracks/0DWdj2oZMBFSzRsi2Cvfzf,TQG,KAROL G,El Salvador,audio_features,179.974,199440,4,4,0,0.72,0.63,-3.547,0.0936,0.607,0.277,0.673,0.0
185,692,2024-02-13 04:21:09.093594,1tz4np70ZKhzaXjdgl0J8i,https://api.spotify.com/v1/tracks/1tz4np70ZKhzaXjdgl0J8i,PAID,Kanye West,USA,audio_features,120.162,195118,4,10,0,0.79,0.691,-6.992,0.296,0.436,0.221,0.11,0.0
